risk_profile,amfi_code,scheme_name,fund_house,category,plan,fund_score,sharpe_ratio,max_drawdown,beta,alpha
Conservative,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,79.48717948717949,1.4489218218563988,-0.11265729075028275,0.023683558075848606,0.2698375144191807
Conservative,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,77.69230769230768,1.3073129850148517,-0.1297396816518679,-0.022829569792426545,0.27330465038306057
Conservative,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,73.26923076923077,1.2354677702046803,-0.1639674294693263,0.01813388408385924,0.2827036785246582
Conservative,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,72.37179487179488,1.2087927013264017,-0.1501238549864533,-0.03175144113890974,0.23201007160635082
Conservative,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,84.1025641025641,1.1806150671375009,-0.18188513572116294,0.0005490042506317283,0.2926358334175106
Conservative,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,66.66666666666666,1.1326148295729737,-0.17248105753451382,-0.0025230046646992346,0.26598577542043045
Conservative,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,80.0,1.094174989472087,-0.16217208574644848,0.0051035258305283,0.2719535450128533
Conservative,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,66.98717948717949,1.0821301827119612,-0.17414075086657232,-0.00835383212696202,0.21829397904608644
Conservative,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,61.47435897435898,1.0276606230534917,-0.11291596329323073,0.02108631625012805,0.21399784776051212
Conservative,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,75.12820512820512,1.0269712799368789,-0.12588275606922517,0.01623216976141703,0.2119482701352573
Balanced,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,84.1025641025641,1.1806150671375009,-0.18188513572116294,0.0005490042506317283,0.2926358334175106
Balanced,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,80.25641025641026,0.998665661818648,-0.20960883862039192,-0.06626542862803757,0.2607666908004223
Balanced,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,80.0,1.094174989472087,-0.16217208574644848,0.0051035258305283,0.2719535450128533
Balanced,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,79.48717948717949,1.4489218218563988,-0.11265729075028275,0.023683558075848606,0.2698375144191807
Balanced,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,77.69230769230768,1.3073129850148517,-0.1297396816518679,-0.022829569792426545,0.27330465038306057
Balanced,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,75.12820512820512,1.0269712799368789,-0.12588275606922517,0.01623216976141703,0.2119482701352573
Balanced,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,74.48717948717949,0.9457198875187951,-0.2870600572176455,-0.023196062044059707,0.3033696538698332
Balanced,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,74.2948717948718,0.9502094087546468,-0.31171900300634214,0.011455159960520708,0.3005787817097677
Balanced,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,73.26923076923077,1.2354677702046803,-0.1639674294693263,0.01813388408385924,0.2827036785246582
Balanced,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,72.37179487179488,1.2087927013264017,-0.1501238549864533,-0.03175144113890974,0.23201007160635082
