first_month,month,active_investors,cohort_size,months_since_cohort,retention_rate
2024-01-01,2024-01-01,1004,1004,0,1.0
2024-01-01,2024-02-01,222,1004,1,0.22111553784860558
2024-01-01,2024-03-01,240,1004,2,0.23904382470119523
2024-01-01,2024-04-01,221,1004,3,0.2201195219123506
2024-01-01,2024-05-01,227,1004,4,0.22609561752988047
2024-01-01,2024-06-01,237,1004,5,0.2360557768924303
2024-01-01,2024-07-01,244,1004,6,0.24302788844621515
2024-01-01,2024-08-01,213,1004,7,0.21215139442231076
2024-01-01,2024-09-01,229,1004,8,0.22808764940239043
2024-01-01,2024-10-01,240,1004,9,0.23904382470119523
2024-01-01,2024-11-01,226,1004,10,0.2250996015936255
2024-01-01,2024-12-01,226,1004,11,0.2250996015936255
2024-01-01,2025-01-01,250,1004,12,0.24900398406374502
2024-01-01,2025-02-01,209,1004,13,0.20816733067729085
2024-01-01,2025-03-01,217,1004,14,0.21613545816733068
2024-01-01,2025-04-01,225,1004,15,0.2241035856573705
2024-01-01,2025-05-01,250,1004,16,0.24900398406374502
2024-02-01,2024-02-01,802,802,0,1.0
2024-02-01,2024-03-01,182,802,1,0.22693266832917705
2024-02-01,2024-04-01,215,802,2,0.26807980049875313
2024-02-01,2024-05-01,197,802,3,0.2456359102244389
2024-02-01,2024-06-01,191,802,4,0.23815461346633415
2024-02-01,2024-07-01,192,802,5,0.23940149625935161
2024-02-01,2024-08-01,188,802,6,0.2344139650872818
2024-02-01,2024-09-01,187,802,7,0.23316708229426433
2024-02-01,2024-10-01,162,802,8,0.20199501246882792
2024-02-01,2024-11-01,199,802,9,0.24812967581047382
2024-02-01,2024-12-01,175,802,10,0.21820448877805487
2024-02-01,2025-01-01,180,802,11,0.22443890274314215
2024-02-01,2025-02-01,160,802,12,0.19950124688279303
2024-02-01,2025-03-01,195,802,13,0.243142144638404
2024-02-01,2025-04-01,178,802,14,0.22194513715710723
2024-02-01,2025-05-01,185,802,15,0.23067331670822944
2024-03-01,2024-03-01,612,612,0,1.0
2024-03-01,2024-04-01,149,612,1,0.2434640522875817
2024-03-01,2024-05-01,160,612,2,0.26143790849673204
2024-03-01,2024-06-01,133,612,3,0.2173202614379085
2024-03-01,2024-07-01,118,612,4,0.19281045751633988
2024-03-01,2024-08-01,123,612,5,0.20098039215686275
2024-03-01,2024-09-01,146,612,6,0.238562091503268
2024-03-01,2024-10-01,128,612,7,0.20915032679738563
