amfi_code,sector_hhi,top_sector,top_sector_share_pct,top_3_sector_share_pct,number_of_sectors,scheme_name,fund_house,category,plan
100016,0.18058807999999998,IT,25.9,66.22,8,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular
100033,0.22764743999999998,Banking,35.97,71.9,7,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular
101206,0.18004225000000004,Banking,25.09,65.00999999999999,7,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular
101207,0.22272651000000002,Pharma,35.07,73.88,6,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular
102885,0.18071201999999997,Utilities,28.95,66.4,8,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular
102886,0.12402024,Consumer Goods,18.99,46.83,10,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular
102887,0.25138255,Pharma,39.04,76.36999999999999,6,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular
118632,0.20725894,Telecom,30.44,70.27000000000001,6,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular
118633,0.22120032000000003,Banking,34.18,72.16,7,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct
118634,0.16029924,FMCG,25.23,57.940000000000005,8,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular
118635,0.23749677,IT,39.35,71.48,6,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct
119092,0.29676909,IT,48.69,78.62,7,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular
119093,0.1842332,IT,26.67,68.32,8,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct
119094,0.17510025,FMCG,23.17,59.82,6,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular
119095,0.15958229000000002,IT,24.25,58.8,8,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular
119551,0.14249103999999999,Utilities,21.33,53.489999999999995,8,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular
119552,0.22750834999999997,Automobile,32.48,73.25,7,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct
119598,0.18808485000000003,IT,31.84,62.86000000000001,7,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular
119599,0.23236120000000002,Banking,34.08,75.8,7,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct
120503,0.18216749999999998,FMCG,30.67,62.46,7,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular
120504,0.22121302999999998,Banking,35.61,70.91,8,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct
120505,0.23869504,Pharma,40.75,73.82,7,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular
120506,0.23146434000000002,Banking,30.4,79.13,7,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular
120841,0.21589315000000003,Pharma,27.46,77.57,7,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular
120842,0.16206189,Automobile,26.66,57.900000000000006,8,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular
120843,0.13620616000000002,Utilities,19.94,52.07,9,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular
125497,0.17241088,IT,26.92,60.61,7,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct
125498,0.253155,Banking,41.2,76.64,6,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct
148567,0.20124815,Banking,30.78,66.34,6,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular
148568,0.21808584999999997,Banking,33.8,72.72,6,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular
148569,0.25499194,Banking,39.82,78.72,7,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular
149322,0.18269533000000002,Banking,28.64,64.69,7,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular
149323,0.24107664,Pharma,41.339999999999996,73.62,7,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular
149324,0.18870081999999994,Pharma,32.519999999999996,65.39999999999999,9,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular
