amfi_code,scheme_name,category,hhi,concentration,num_sectors,top_3_sectors
119092,Axis Bluechip Fund - Regular - Growth,Large Cap,2064.0,Moderately Concentrated,7,"IT (38.2%), FMCG (15.9%), Banking (10.8%)"
101207,ABSL Small Cap Fund - Regular - Growth,Small Cap,2007.0,Moderately Concentrated,6,"Pharma (35.1%), Infrastructure (19.3%), Automobile (12.0%)"
119599,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,1748.0,Moderately Concentrated,7,"Diversified (28.2%), Banking (18.6%), Banking (15.5%)"
102885,UTI Nifty 50 Index Fund - Regular - Growth,Index,1747.0,Moderately Concentrated,8,"Utilities (28.9%), Banking (21.8%), Automobile (14.3%)"
118632,Nippon India Large Cap Fund - Regular - Growth,Large Cap,1683.0,Moderately Concentrated,6,"Telecom (30.4%), FMCG (13.3%), Pharma (12.5%)"
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,1679.0,Moderately Concentrated,6,"Banking (28.6%), Utilities (17.0%), IT (15.1%)"
120505,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,1576.0,Moderately Concentrated,7,"Pharma (23.5%), Automobile (17.7%), Pharma (17.3%)"
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Value,1538.0,Moderately Concentrated,7,"Banking (21.5%), Infrastructure (20.9%), Cement (18.4%)"
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,1524.0,Moderately Concentrated,6,"Banking (22.8%), Consumer Goods (20.9%), IT (14.5%)"
120841,Kotak Bluechip Fund - Regular - Growth,Large Cap,1497.0,Diversified,7,"Banking (22.4%), Pharma (20.3%), Utilities (18.4%)"
148569,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,1494.0,Diversified,7,"Telecom (25.5%), Banking (14.1%), Utilities (13.4%)"
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,1476.0,Diversified,7,"Automobile (26.1%), Banking (18.2%), Banking (10.3%)"
149323,DSP Midcap Fund - Regular - Growth,Mid Cap,1416.0,Diversified,7,"Pharma (22.8%), Utilities (16.4%), IT (15.9%)"
120503,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,1409.0,Diversified,7,"FMCG (20.7%), Consumer Goods (15.9%), Diversified (15.9%)"
100016,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,1395.0,Diversified,8,"IT (25.9%), Automobile (14.8%), FMCG (11.7%)"
148567,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,1386.0,Diversified,6,"Diversified (22.9%), Paints (12.6%), IT (12.2%)"
125497,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,1366.0,Diversified,7,"Diversified (19.0%), IT (14.9%), Utilities (14.7%)"
119094,Axis Midcap Fund - Regular - Growth,Mid Cap,1364.0,Diversified,6,"FMCG (23.2%), Automobile (14.7%), Paints (13.7%)"
118635,Nippon India ETF Nifty 50 BeES,Index/ETF,1359.0,Diversified,6,"Banking (17.9%), IT (15.8%), Paints (14.3%)"
149322,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,1344.0,Diversified,7,"Pharma (18.3%), Consumer Goods (17.8%), Banking (14.7%)"
119093,Axis Bluechip Fund - Direct - Growth,Large Cap,1309.0,Diversified,8,"NBFC (20.2%), IT (16.4%), Banking (14.8%)"
102887,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,1298.0,Diversified,6,"Pharma (19.7%), Pharma (19.3%), Diversified (12.2%)"
101206,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,1293.0,Diversified,7,"Automobile (19.0%), Banking (18.9%), Infrastructure (14.9%)"
120843,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,1287.0,Diversified,9,"Utilities (19.9%), FMCG (16.7%), Diversified (15.4%)"
120842,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,1274.0,Diversified,8,"Automobile (19.5%), Banking (18.1%), FMCG (13.1%)"
118633,Nippon India Large Cap Fund - Direct - Growth,Large Cap,1215.0,Diversified,7,"Banking (20.7%), IT (14.4%), Consumer Goods (12.4%)"
119551,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,1187.0,Diversified,8,"IT (18.2%), Telecom (13.9%), Utilities (13.8%)"
149324,DSP Small Cap Fund - Regular - Growth,Small Cap,1187.0,Diversified,9,"NBFC (19.7%), Pharma (17.2%), IT (13.2%)"
102886,UTI Mid Cap Fund - Regular - Growth,Mid Cap,1147.0,Diversified,10,"Consumer Goods (19.0%), Automobile (14.1%), Paints (12.6%)"
119095,Axis Small Cap Fund - Regular - Growth,Small Cap,1096.0,Diversified,8,"FMCG (17.8%), Infrastructure (16.8%), IT (10.7%)"
120504,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,1087.0,Diversified,8,"Utilities (17.4%), Banking (14.5%), Banking (13.2%)"
118634,Nippon India Small Cap Fund - Regular - Growth,Small Cap,1084.0,Diversified,8,"FMCG (13.6%), IT (12.3%), Consumer Goods (12.3%)"
119552,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,1080.0,Diversified,7,"Automobile (17.9%), Automobile (14.6%), IT (10.6%)"
119598,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,1073.0,Diversified,7,"Energy (16.5%), IT (15.2%), IT (13.7%)"
