investor_id,num_sips,avg_gap_days,max_gap_days,at_risk,total_invested
INV000004,6,85.4,265,Yes,48256
INV000008,6,70.4,165,Yes,72853
INV000010,6,64.8,139,Yes,32183
INV000011,7,40.2,125,Yes,93920
INV000012,8,57.0,132,Yes,40139
INV000013,7,55.3,104,Yes,75613
INV000014,7,75.3,128,Yes,140315
INV000023,8,58.6,115,Yes,202529
INV000028,6,93.6,238,Yes,84262
INV000029,7,60.7,96,Yes,90012
INV000030,9,47.6,100,Yes,76470
INV000033,8,45.6,87,Yes,46033
INV000039,6,68.6,129,Yes,99338
INV000045,6,70.6,109,Yes,114438
INV000048,9,46.0,168,Yes,40327
INV000052,6,36.2,120,Yes,24378
INV000056,6,74.8,161,Yes,60977
INV000057,8,49.7,149,Yes,90907
INV000069,10,49.1,129,Yes,156054
INV000072,6,83.0,247,Yes,49372
INV000073,9,48.2,112,Yes,113509
INV000074,8,72.6,191,Yes,106669
INV000075,6,74.8,102,Yes,147761
INV000076,6,91.8,203,Yes,50910
INV000079,6,65.8,90,Yes,42160
INV000081,7,81.3,167,Yes,54704
INV000082,7,83.7,351,Yes,27594
INV000086,10,44.7,167,Yes,81221
INV000087,6,92.8,202,Yes,105288
INV000091,8,44.0,105,Yes,55134
INV000093,7,55.5,91,Yes,141515
INV000094,6,44.8,95,Yes,49928
INV000095,6,69.4,155,Yes,92823
INV000097,7,54.5,183,Yes,155107
INV000101,8,65.0,197,Yes,112802
INV000102,8,65.3,109,Yes,114074
INV000103,6,83.4,232,Yes,20675
INV000105,8,57.0,87,Yes,86911
INV000109,9,46.2,63,Yes,67651
INV000113,8,46.0,144,Yes,84349
INV000123,7,59.7,142,Yes,113633
INV000128,6,82.0,181,Yes,38273
INV000131,7,56.0,123,Yes,102201
INV000132,6,71.0,139,Yes,88403
INV000133,6,88.2,265,Yes,74695
INV000138,6,76.2,220,Yes,156066
INV000145,6,89.4,282,Yes,127034
INV000146,6,66.8,171,Yes,88618
INV000148,9,52.0,168,Yes,90012
